links	date_c
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9101/001.html	1/2/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9101/002.html	1/3/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9101/003.html	1/4/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9101/004.html	1/7/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9101/005.html	1/8/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9101/006.html	1/10/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9101/007.html	1/11/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9101/008.html	1/14/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9101/009.html	1/15/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9101/010.html	1/16/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9101/011.html	1/17/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9101/012.html	1/22/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9101/013.html	1/23/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9101/014.html	1/24/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9101/015.html	1/25/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9101/016.html	1/28/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9101/017.html	1/29/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9101/018.html	1/30/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9101/019.html	1/31/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9102/020.html	2/1/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9102/021.html	2/4/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9102/023.html	2/8/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9102/023.html	2/11/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9102/024.html	2/12/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9102/025.html	2/13/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9102/026.html	2/14/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9102/027.html	2/15/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9102/028.html	2/19/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9102/029.html	2/20/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9102/030.html	2/21/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9102/031.html	2/25/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9102/032.html	2/27/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9102/033.html	2/28/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9103/034.html	3/4/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9103/035.html	3/5/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9103/036.html	3/6/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9103/037.html	3/7/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9103/038.html	3/8/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9103/039.html	3/11/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9103/040.html	3/12/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9103/042.html	3/14/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9103/043.html	3/18/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9103/044.html	3/19/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9103/045.html	3/20/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9103/046.html	3/21/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9103/047.html	3/22/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9103/048.html	3/25/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9103/049.html	3/26/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9103/050.html	3/27/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9103/051.html	3/28/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9104/052.html	4/1/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9104/053.html	4/2/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9104/054.html	4/3/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9104/055.html	4/4/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9104/056.html	4/5/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9104/057.html	4/8/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9104/058.html	4/9/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9104/059.html	4/10/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9104/060.html	4/12/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9104/061.html	4/15/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9104/062.html	4/16/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9104/063.html	4/18/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9104/064.html	4/19/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9104/065.html	4/22/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9104/066.html	4/23/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9104/067.html	4/24/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9104/068.html	4/25/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9104/069.html	4/26/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9104/070.html	4/29/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9104/071.html	4/30/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9105/072.html	5/1/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9105/073.html	5/2/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9105/074.html	5/3/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9105/075.html	5/6/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9105/076.html	5/7/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9105/077.html	5/8/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9105/078.html	5/9/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9105/079.html	5/10/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9105/080.html	5/14/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9105/081.html	5/15/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9105/082.html	5/16/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9105/083.html	5/17/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9105/084.html	5/20/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9105/085.html	5/21/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9105/086.html	5/24/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9105/087.html	5/28/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9105/088.html	5/29/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9105/089.html	5/30/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9105/090.html	5/31/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9106/091.html	6/3/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9106/092.html	6/4/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9106/093.html	6/5/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9106/094.html	6/6/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9106/095.html	6/10/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9106/096.html	6/11/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9106/097.html	6/13/91
